"","INSPECTION_ID","ESTABLISHMENT_ID","IsED","MINIMUM_INSPECTIONS_PERYEAR","No_Infraction","Minor","Significant","Crucial","Total"
"38612","103872467","10517923",0,"3",0,2,1,0,3
"38613","103872470","10493006",0,"3",0,2,0,0,2
"38614","103872494","10376619",0,"3",0,2,0,0,2
"38615","103872562","10582825",0,"2",1,0,0,0,0
"38616","103872587","9008110",0,"2",1,0,0,0,0
"38617","103872592","9022267",0,"2",1,0,0,0,0
"38618","103872593","9007215",0,"2",1,0,0,0,0
"38619","103872596","10417826",0,"2",0,2,0,0,2
"38620","103872598","10288213",0,"2",1,0,0,0,0
"38621","103872600","10219731",0,"2",0,1,0,0,1
"38622","103872607","9005256",0,"3",1,0,0,0,0
"38623","103872608","10490950",0,"3",0,2,1,0,3
"38624","103872609","10260636",0,"2",1,0,0,0,0
"38625","103872612","10582835",0,"2",1,0,0,0,0
"38626","103872617","10570911",1,"3",0,2,1,0,3
"38627","103872629","10530882",0,"2",1,0,0,0,0
"38628","103872630","10441596",0,"1",0,1,1,0,2
"38629","103872631","10472198",0,"2",0,1,1,0,2
"38630","103872633","10487214",0,"3",0,2,1,0,3
"38631","103872637","10391378",0,"1",1,0,0,0,0
"38632","103872639","10445734",0,"1",1,0,0,0,0
"38633","103872644","10458528",0,"1",1,0,0,0,0
"38634","103872671","10582204",0,"3",0,0,1,0,1
"38635","103872701","10257419",0,"2",0,1,2,0,3
"38636","103872741","10286106",0,"3",1,0,0,0,0
"38637","103872761","9404232",0,"2",1,0,0,0,0
"38638","103872768","10339775",0,"3",0,0,2,2,4
"38639","103872802","10304953",0,"3",0,2,0,0,2
"38640","103872813","10550258",0,"2",1,0,0,0,0
"38641","103872833","10582868",0,"3",1,0,0,0,0
"38642","103872841","10489080",0,"2",0,2,1,0,3
"38643","103872856","10542559",0,"3",0,2,5,2,9
"38644","103872858","10542559",0,"3",0,1,0,0,1
"38645","103872868","10550922",0,"2",1,0,0,0,0
"38646","103872869","10517613",0,"2",0,2,0,0,2
"38647","103872877","10347689",0,"2",1,0,0,0,0
"38648","103872881","9017833",0,"3",1,0,0,0,0
"38649","103872883","10357203",0,"2",1,0,0,0,0
"38650","103872893","10582875",0,"1",0,0,2,0,2
"38651","103872899","10339775",0,"3",1,0,0,0,0
"38652","103872904","10582877",0,"2",1,0,0,0,0
"38653","103872933","10396640",0,"2",0,2,0,0,2
"38654","103872962","9000432",0,"2",1,0,0,0,0
"38655","103872979","9011922",0,"1",1,0,0,0,0
"38656","103873007","10491674",0,"3",1,0,0,0,0
"38657","103873026","10582898",0,"2",1,0,0,0,0
"38658","103873035","10469146",0,"1",0,1,0,0,1
"38659","103873056","9021965",0,"3",0,1,4,0,5
"38660","103873065","9021965",0,"3",1,0,0,0,0
"38661","103873067","10500548",0,"2",0,1,2,1,4
"38662","103873075","10582906",0,"2",1,0,0,0,0
"38663","103873097","10500548",0,"2",1,0,0,0,0
"38664","103873123","10274551",0,"2",0,1,0,0,1
"38665","103873146","10527374",0,"2",1,0,0,0,0
"38666","103873147","10515174",0,"2",1,0,0,0,0
"38667","103873148","10497261",0,"2",1,0,0,0,0
"38668","103873149","10491908",0,"2",1,0,0,0,0
"38669","103873150","10266023",0,"2",1,0,0,0,0
"38670","103873203","9011476",0,"3",0,0,1,0,1
"38671","103873259","10493741",0,"2",0,1,0,0,1
"38672","103873294","9013810",0,"2",1,0,0,0,0
"38673","103873295","9000074",0,"2",0,0,1,0,1
"38674","103873297","10426033",0,"2",1,0,0,0,0
"38675","103873298","10426030",0,"2",1,0,0,0,0
"38676","103873340","10539887",0,"3",0,0,1,0,1
"38677","103873347","10283743",0,"3",0,2,1,0,3
"38678","103873349","10208063",0,"3",0,0,3,0,3
"38679","103873351","9011764",0,"3",0,0,1,0,1
"38680","103873358","9014315",0,"3",0,1,0,0,1
"38681","103873359","10494602",0,"2",0,1,0,0,1
"38682","103873360","10548989",0,"2",0,1,0,0,1
"38683","103873380","10453202",0,"2",0,3,0,0,3
"38684","103873388","10389517",0,"2",1,0,0,0,0
"38685","103873406","10406924",0,"1",1,0,0,0,0
"38686","103873441","10309288",1,"3",0,1,0,0,1
"38687","103873448","10387400",0,"1",0,1,0,0,1
"38688","103873467","10509148",0,"2",1,0,0,0,0
"38689","103873508","10510204",0,"2",0,2,1,0,3
"38690","103873509","10413245",0,"2",0,3,0,0,3
"38691","103873510","10553979",0,"2",1,0,0,0,0
"38692","103873534","10420817",1,"2",1,0,0,0,0
"38693","103873535","9004482",0,"2",1,0,0,0,0
"38694","103873576","10508103",0,"2",0,1,0,0,1
"38695","103873602","10380146",0,"3",0,2,0,0,2
"38696","103873620","10583009",0,"2",1,0,0,0,0
"38697","103873626","9006682",0,"3",0,1,0,0,1
"38698","103873641","9002097",0,"2",1,0,0,0,0
"38699","103873648","9053490",0,"1",1,0,0,0,0
"38700","103873657","10359185",0,"3",1,0,0,0,0
"38701","103873668","9005053",0,"3",1,0,0,0,0
"38702","103873669","10283743",0,"3",1,0,0,0,0
"38703","103873672","9004827",0,"2",1,0,0,0,0
"38704","103873694","10415149",0,"2",0,0,1,0,1
"38705","103873696","9417737",0,"1",0,2,0,0,2
"38706","103873697","10508401",0,"1",0,1,0,0,1
"38707","103873699","10333174",0,"3",0,0,1,0,1
"38708","103873716","10583024",0,"2",1,0,0,0,0
"38709","103873718","9017400",0,"3",1,0,0,0,0
"38710","103873719","9043672",0,"3",1,0,0,0,0
"38711","103873733","10390870",0,"3",0,2,0,0,2
"38712","103873737","10522766",0,"1",1,0,0,0,0
"38713","103873740","10471186",0,"3",0,2,1,0,3
"38714","103873741","10574614",0,"2",0,1,2,0,3
"38715","103873755","10201943",0,"3",1,0,0,0,0
"38716","103873756","9012276",0,"2",0,1,0,0,1
"38717","103873766","10476510",0,"1",0,0,3,0,3
"38718","103873783","10382250",0,"2",1,0,0,0,0
"38719","103873785","9159336",0,"3",0,1,0,0,1
"38720","103873786","10433511",0,"2",0,1,1,0,2
"38721","103873788","10508676",0,"2",0,2,4,1,7
"38722","103873790","10583035",0,"3",0,2,1,1,4
"38723","103873791","10185207",0,"1",1,0,0,0,0
"38724","103873792","10508676",0,"2",0,2,3,1,6
"38725","103873805","9415928",0,"1",1,0,0,0,0
"38726","103873806","10471552",0,"2",0,1,3,1,5
"38727","103873824","10583035",0,"3",1,0,0,0,0
"38728","103873833","10430814",0,"3",0,1,0,0,1
"38729","103873835","10191833",0,"3",0,5,5,1,11
