field_1,lat,long,input_address,estblishment in ent dist_IsEnt
158,43.6609798,-79.4292888,"748 DOVERCOURT RD , Toronto, ON, Canada",
159,43.7828482,-79.2995033,"2360 BIRCHMOUNT RD , Toronto, ON, Canada",
160,43.7812099,-79.3007909,"365 BAY MILLS BLVD , Toronto, ON, Canada",
161,43.7292858,-79.2669103,"720 KENNEDY RD , Toronto, ON, Canada",
162,43.7691898,-79.2645645,"1299 ELLESMERE RD , Toronto, ON, Canada",
163,43.6567533,-79.4069986,"422 COLLEGE ST , Toronto, ON, Canada",
164,43.6722162,-79.3214467,"1449 GERRARD ST E, Toronto, ON, Canada",
165,43.7359538,-79.251621,"2624 EGLINTON AVE E, Toronto, ON, Canada",
166,43.7603747,-79.3019936,"251 ELLESMERE RD , Toronto, ON, Canada",
167,43.7711547,-79.5259801,"45 BLACKSMITH CRES , Toronto, ON, Canada",
168,43.6718149,-79.3384795,"21 BOULTBEE AVE , Toronto, ON, Canada",
169,43.6747954,-79.3397866,"84 BLAKE ST , Toronto, ON, Canada",
170,43.7354566,-79.486157,"25 BLAYDON AVE , Toronto, ON, Canada",
171,43.6606464,-79.4323194,"1050 BLOOR ST W, Toronto, ON, Canada",
172,43.6640896,-79.4159839,"662 BLOOR ST W, Toronto, ON, Canada",
173,43.6503944,-79.4787152,"2283 BLOOR ST W, Toronto, ON, Canada",
174,43.6566752,-79.4792911,"432 RUNNYMEDE RD , Toronto, ON, Canada",
175,43.6495398,-79.4841695,"2434 BLOOR ST W, Toronto, ON, Canada",
176,43.6531742,-79.3952523,"421 DUNDAS ST W, Toronto, ON, Canada",
177,43.6136596,-79.5191763,"29 CONNELL CRT , Toronto, ON, Canada",
178,43.6595781,-79.3662439,"316 PARLIAMENT ST , Toronto, ON, Canada",
179,43.7460387,-79.4875154,"3364 KEELE ST , Toronto, ON, Canada",
180,43.6862465,-79.3935614,"1378 YONGE ST , Toronto, ON, Canada",
181,43.7082003,-79.4532575,"2895 DUFFERIN ST , Toronto, ON, Canada",
182,43.7595139,-79.223442,"3601 LAWRENCE AVE E, Toronto, ON, Canada",
183,43.6511816,-79.3719289,"71 JARVIS ST , Toronto, ON, Canada",
184,43.6400759,-79.4272537,"295 DUFFERIN ST , Toronto, ON, Canada",
185,43.6597952,-79.3462868,"812 QUEEN ST E, Toronto, ON, Canada",
186,43.6840852,-79.4513989,"261 NAIRN AVE , Toronto, ON, Canada",
187,43.6615349,-79.3387199,"1020 QUEEN ST E, Toronto, ON, Canada",
188,43.6749243,-79.4575394,"1652 ST CLAIR AVE W, Toronto, ON, Canada",
189,43.6619075,-79.4068878,"161 HARBORD ST , Toronto, ON, Canada",
190,43.6477114,-79.4027928,"542 QUEEN ST W, Toronto, ON, Canada",
191,43.7278717,-79.5490257,"15 TANDRIDGE CRES , Toronto, ON, Canada",
192,43.792718,-79.3578175,"5 BRAHMS AVE , Toronto, ON, Canada",
193,43.6460984,-79.3977406,"425 ADELAIDE ST W, Toronto, ON, Canada",
194,43.6477446,-79.3704189,"85 LOWER JARVIS ST , Toronto, ON, Canada",
195,43.6537865,-79.4261354,"934 COLLEGE ST , Toronto, ON, Canada",
196,43.6485512,-79.3750701,"40 WELLINGTON ST E, Toronto, ON, Canada",
197,43.6498962,-79.434136,"1566 DUNDAS ST W, Toronto, ON, Canada",
198,43.7075628,-79.5782715,"1260 MARTIN GROVE RD , Toronto, ON, Canada",
199,43.7067607,-79.2689884,"462 BIRCHMOUNT RD , Toronto, ON, Canada",
200,43.8067219,-79.2221068,"31 TAPSCOTT RD , Toronto, ON, Canada",
201,43.7744078,-79.2438689,"1820 ELLESMERE RD , Toronto, ON, Canada",
202,43.6666468,-79.3904212,"81 ST MARY ST , Toronto, ON, Canada",
203,43.7827032,-79.3317362,"95 BRIAN DR , Toronto, ON, Canada",
204,43.6663756,-79.5799159,"60 WELLESWORTH DR , Toronto, ON, Canada",
205,43.794074,-79.3248245,"2575 PHARMACY AVE , Toronto, ON, Canada",
206,43.710303,-79.2973707,"81 PEARD RD , Toronto, ON, Canada",
207,43.7113044,-79.5169401,"169 GARY DR , Toronto, ON, Canada",
208,43.706537,-79.3898153,"720 MOUNT PLEASANT RD , Toronto, ON, Canada",
209,43.65915,-79.3491993,"728 QUEEN ST E, Toronto, ON, Canada",
210,43.652767,-79.43804,"93 MARGUERETTA ST , Toronto, ON, Canada",
211,43.7021139,-79.4948893,"70 BROOKHAVEN DR , Toronto, ON, Canada",
212,43.727635,-79.2657969,"707 KENNEDY RD , Toronto, ON, Canada",
213,43.647982,-79.4008849,"486 QUEEN ST W, Toronto, ON, Canada",
214,43.6489232,-79.3717226,"91 FRONT ST E, Toronto, ON, Canada",
215,43.659911,-79.5140838,"4242 DUNDAS ST W, Toronto, ON, Canada",
216,43.7365972,-79.4199695,"2055 AVENUE RD , Toronto, ON, Canada",
217,43.6633185,-79.3830659,"12 ALEXANDER ST , Toronto, ON, Canada",
218,43.6548853,-79.3685881,"242 QUEEN ST E, Toronto, ON, Canada",
219,43.7983946,-79.3184533,"2900 WARDEN AVE , Toronto, ON, Canada",
220,43.7839356,-79.2919823,"3850 SHEPPARD AVE E, Toronto, ON, Canada",
221,43.6496403,-79.4824364,"2389 BLOOR ST W, Toronto, ON, Canada",
222,43.6967221,-79.3957754,"1835 YONGE ST , Toronto, ON, Canada",
223,43.7431311,-79.603587,"11 WESTMORE DR , Toronto, ON, Canada",
224,43.6516468,-79.3978711,"252 SPADINA AVE , Toronto, ON, Canada",
225,43.6655724,-79.3742772,"432 SHERBOURNE ST , Toronto, ON, Canada",
226,43.786981,-79.3290489,"2764 VICTORIA PARK AVE , Toronto, ON, Canada",
227,43.6228903,-79.5196312,"1134 THE QUEENSWAY  , Toronto, ON, Canada",
228,43.75192,-79.545456,"2372 FINCH AVE W, Toronto, ON, Canada",
229,43.751025,-79.265581,"2571 LAWRENCE AVE E, Toronto, ON, Canada",
230,43.7142003,-79.4563863,"940 LAWRENCE AVE W, Toronto, ON, Canada",
231,43.6392008,-79.4270555,"1194 KING ST W, Toronto, ON, Canada",
232,43.6481897,-79.5616657,"500 THE EAST MALL  , Toronto, ON, Canada",
233,43.7939492,-79.2342222,"1081 PROGRESS AVE , Toronto, ON, Canada",
234,43.643609,-79.4032558,"677 KING ST W, Toronto, ON, Canada",
