"","ESTABLISHMENT_ID","IsED","Inspection","Minor","Significant","Crucial","Total"
"1829","10325685",0,1,2,0,0,2
"1830","10325697",0,3,0,1,0,1
"1831","10325719",1,4,1,1,0,2
"1832","10325721",1,4,0,0,0,0
"1833","10325728",1,4,0,1,0,1
"1834","10325730",1,4,3,1,0,4
"1835","10325734",1,4,0,1,0,1
"1836","10325736",1,5,4,0,0,4
"1837","10325744",0,1,0,0,0,0
"1838","10325790",0,4,0,0,0,0
"1839","10325792",0,1,1,1,0,2
"1840","10325820",0,3,5,2,0,7
"1841","10325846",0,1,1,0,0,1
"1842","10325864",0,2,0,1,0,1
"1843","10325891",0,3,0,4,1,5
"1844","10326001",0,3,0,0,0,0
"1845","10326025",0,4,1,3,0,4
"1846","10326044",0,3,1,1,0,2
"1847","10326080",0,6,5,3,2,10
"1848","10326108",0,2,0,1,0,1
"1849","10326118",0,1,0,0,0,0
"1850","10326177",0,1,3,0,0,3
"1851","10326186",0,3,3,1,0,4
"1852","10326205",0,7,11,5,1,17
"1853","10326237",0,3,0,0,0,0
"1854","10326395",0,3,0,0,0,0
"1855","10326468",0,1,0,0,0,0
"1856","10326487",0,1,0,0,0,0
"1857","10326488",0,1,1,0,0,1
"1858","10326506",0,1,0,0,0,0
"1859","10326529",0,4,0,2,0,2
"1860","10326538",0,4,2,0,0,2
"1861","10326563",0,1,1,0,0,1
"1862","10326576",0,2,0,0,0,0
"1863","10326604",0,7,6,5,0,11
"1864","10326714",0,2,0,0,0,0
"1865","10326715",0,3,2,0,0,2
"1866","10326728",0,4,7,0,0,7
"1867","10326829",0,4,7,4,0,11
"1868","10326843",0,1,1,0,0,1
"1869","10326853",0,2,1,1,0,2
"1870","10326909",0,4,0,0,0,0
"1871","10326929",0,2,0,1,0,1
"1872","10327020",0,1,0,0,0,0
"1873","10327050",0,1,2,0,0,2
"1874","10327062",0,4,6,1,0,7
"1875","10327339",0,1,1,0,0,1
"1876","10327370",0,1,0,0,0,0
"1877","10327382",0,1,0,0,0,0
"1878","10327386",0,2,0,0,0,0
"1879","10327402",0,2,3,0,0,3
"1880","10327501",0,1,0,0,0,0
"1881","10327553",0,3,6,1,0,7
"1882","10327561",0,1,0,0,0,0
"1883","10327569",0,6,12,5,0,17
"1884","10327609",0,4,1,0,0,1
"1885","10327617",0,2,0,0,0,0
"1886","10327625",0,2,0,0,0,0
"1887","10327629",0,4,5,2,0,7
"1888","10327638",0,2,0,0,0,0
"1889","10327712",0,4,4,1,0,5
"1890","10327736",0,6,0,0,0,0
"1891","10327775",0,1,0,0,0,0
"1892","10327884",0,1,0,0,0,0
"1893","10327955",0,3,3,0,0,3
"1894","10327970",0,3,0,0,0,0
"1895","10327987",0,7,12,7,0,19
"1896","10328089",0,1,0,0,0,0
"1897","10328143",0,4,1,0,0,1
"1898","10328218",0,1,0,0,0,0
"1899","10328232",0,4,1,0,0,1
"1900","10328276",0,6,2,2,0,4
"1901","10328392",0,4,0,0,0,0
"1902","10328461",0,4,1,0,0,1
"1903","10328464",0,4,3,0,0,3
"1904","10328499",0,4,0,0,0,0
"1905","10328534",0,7,7,7,0,14
"1906","10328537",1,4,1,0,0,1
"1907","10328629",0,3,0,0,0,0
"1908","10328704",0,1,0,0,0,0
"1909","10328787",0,6,5,2,0,7
"1910","10328951",0,6,11,7,0,18
"1911","10328991",0,4,3,1,0,4
"1912","10329042",0,8,1,2,0,3
"1913","10329079",0,1,0,0,0,0
"1914","10329111",0,2,0,0,0,0
"1915","10329113",0,1,0,0,0,0
"1916","10329129",0,2,4,3,0,7
"1917","10329136",0,4,0,0,0,0
"1918","10329175",0,3,0,0,0,0
"1919","10329227",0,3,7,0,0,7
"1920","10329248",0,3,0,0,0,0
"1921","10329348",0,2,0,0,0,0
"1922","10329376",0,4,1,0,0,1
"1923","10329389",0,4,5,0,0,5
"1924","10329521",0,4,3,0,0,3
"1925","10329523",0,5,1,0,0,1
"1926","10329536",0,4,5,1,0,6
"1927","10329547",0,3,0,2,0,2
"1928","10329567",0,2,0,0,0,0
"1929","10329589",0,5,0,0,0,0
"1930","10329592",0,5,10,5,0,15
"1931","10329666",0,6,1,2,1,4
"1932","10329765",0,4,5,1,0,6
"1933","10329769",0,1,0,0,0,0
"1934","10329775",0,4,0,0,0,0
"1935","10329786",0,4,3,1,1,5
"1936","10329938",0,4,7,1,0,8
"1937","10329940",0,5,0,0,0,0
"1938","10329969",0,7,12,8,0,20
"1939","10330022",0,4,0,0,0,0
"1940","10330086",0,3,1,0,0,1
"1941","10330091",0,2,0,0,0,0
"1942","10330133",1,4,2,3,0,5
"1943","10330157",0,4,3,0,0,3
