"","ESTABLISHMENT_ID","IsED","theta","psi","min_inspection","inspection","Total"
"9774",10489081,0,0.611940460243953,0.839772910810794,2,4,1
"9775",10489114,0,0.612042606498526,0.849512904808671,2,5,6
"9776",10489127,0,0.611285430964332,1.44827944271005,1,1,0
"9777",10489154,0,0.61065327264641,1.66884629306812,2,3,4
"9778",10489155,0,0.613360994489104,1.4903989371856,2,5,13
"9779",10489157,0,0.612008707661589,1.15222310021645,2,4,3
"9780",10489158,0,0.611780558405478,1.92703168294213,1,1,0
"9781",10489160,0,0.613769980958824,1.45716047922759,1,3,1
"9782",10489162,0,0.610556921428133,1.44361179199812,2,5,3
"9783",10489163,0,0.612867653447128,0.631927664434856,2,3,0
"9784",10489195,0,0.612223148730151,1.48016735045294,2,7,14
"9785",10489197,0,0.612895884246947,0.97161183783401,2,4,2
"9786",10489223,0,0.611076148608271,1.24330618366813,3,3,2
"9787",10489253,0,0.612877514820083,1.38364785408946,3,7,7
"9788",10489255,0,0.614081174497562,1.53270845176832,2,3,7
"9789",10489271,0,0.611632811632456,1.35885403245785,3,3,0
"9790",10489273,0,0.611358043593468,0.947909463253094,2,6,7
"9791",10489274,0,0.613005566032333,1.31817888008164,3,5,8
"9792",10489280,0,0.610567425507949,1.27345479085661,1,2,0
"9793",10489308,0,0.613432728331816,0.893439348215321,2,5,0
"9794",10489316,0,0.609097694880949,0.813299384924285,1,1,1
"9795",10489325,0,0.613467469797916,1.37798935538858,2,5,10
"9796",10489348,1,0.584178488699807,1.93090735838404,2,4,5
"9797",10489355,0,0.614048028308273,0.567022337991957,1,1,0
"9798",10489414,0,0.612349607260499,1.43186812367086,2,4,0
"9799",10489418,0,0.612472150715127,0.576239458247595,2,4,3
"9800",10489506,0,0.61166201741715,0.836845396697524,2,3,3
"9801",10489507,0,0.610818217641287,1.398741068785,1,2,1
"9802",10489560,0,0.610539915750776,0.916576043470317,2,4,8
"9803",10489578,0,0.61351789011394,0.491177320356765,1,4,3
"9804",10489611,0,0.611993146660637,1.44520451189262,2,4,0
"9805",10489665,0,0.613019376873611,0.374943434698931,1,1,1
"9806",10489675,0,0.612779912308286,0.96147581536896,3,6,4
"9807",10489748,0,0.612050130010613,0.663155582533235,2,6,0
"9808",10489782,0,0.613283140321387,1.04804293745826,1,4,0
"9809",10489786,0,0.612752267951625,1.39076667445496,3,8,13
"9810",10489792,0,0.612131010846994,1.47315135552496,3,7,15
"9811",10489825,0,0.612103035423757,1.26464997124126,3,5,1
"9812",10489859,0,0.609607649837113,0.955254705528432,2,4,2
"9813",10489871,0,0.612312121070861,1.14487203767088,2,4,1
"9814",10489931,0,0.612461063957363,0.730117771796408,3,4,8
"9815",10489942,0,0.609627844621765,0.380407862510223,1,1,0
"9816",10489954,0,0.614719911119094,2.38016009698376,2,3,0
"9817",10489960,0,0.613145405673954,0.921827604880422,3,10,22
"9818",10489978,0,0.614319650037947,2.32142109111544,1,1,0
"9819",10489987,0,0.613611552866507,1.10887799642703,3,8,10
"9820",10489996,0,0.613868132955954,0.775585384138884,3,8,13
"9821",10490008,0,0.613201272540303,0.919007116650276,3,6,15
"9822",10490009,0,0.613406371300787,1.39413638503306,2,4,4
"9823",10490048,0,0.609576456443374,0.966335881603847,2,1,4
"9824",10490104,0,0.611699870702983,1.16123079505868,3,6,13
"9825",10490117,0,0.613196940451151,1.09167681652477,2,2,0
"9826",10490146,0,0.614431882719091,0.640561605179753,2,4,5
"9827",10490148,0,0.612808871482521,1.51331660038313,3,8,28
"9828",10490169,0,0.613344326793661,0.982091059727747,3,6,14
"9829",10490232,0,0.610494358258582,1.54559941715054,2,4,4
"9830",10490233,0,0.611895789034261,1.85648031490048,1,2,0
"9831",10490246,0,0.610793497001558,1.16632513212964,2,3,5
"9832",10490251,0,0.613201150249183,0.84037712280227,2,5,4
"9833",10490277,0,0.613710924192667,0.797874124778189,2,4,1
"9834",10490402,0,0.612501079984937,1.11200378230251,2,4,8
"9835",10490404,0,0.611479631699813,1.2978807634703,2,3,2
"9836",10490406,1,0.585665179978811,1.93577173288811,2,4,1
"9837",10490407,0,0.612443089758824,1.18370380167908,2,4,3
"9838",10490501,0,0.613094397131016,1.71663587879508,2,6,1
"9839",10490543,0,0.612829948298648,1.05410924151318,2,7,6
"9840",10490563,0,0.613390200681403,1.30171711408983,3,8,17
"9841",10490577,0,0.614251721573576,1.49965597240678,2,5,11
